titulo,usuario,comentario
Staying safe in Bogota,WTrvlr01,"I will be visiting Bogota for a few days soon, and have become familiar with the general advice about safety.
What's not clear though is cell phone use. I've seen guidance that says, in effect, keep your cell phone in your pocket while walking the streets, especially in Candelaria. Then it says use taxi apps only, not public transportation and not taxis cruising the streets. Well, how is it possible to summon an Uber without visibly using a cell phone?
And what about using Google maps to get around? Would that be considered ""dar papaya"", even in city center in broad daylight? If so, what would be the alternative? Paper map?
Thanks in advance for any clarification of this mater."
NA,SusanInToronto,"We were just in Bogota a week ago. We did hail cabs off the street a couple of times - once in La Candelaria and once in Usaquen. We also used our cell phones for Google maps. We were staying in Chapinero, but did a street art tour in Candelaria. The streets were very busy (much more so than I remember from 2012) so once we finished the tour, we were using our phones for directions. Honestly, all the Colombians have their cell phones out. I agree that you have to be careful, but I think you'd stick out a lot more using a paper map :)"
NA,SAV - SouthAmerVoyager/California Surfer,"Simply use good common sense, situational awareness and street smarts, like any where in the world, perhaps step inside an alcove or shop, again don’t over think this rather be smart, walk with a purpose, no jewelry, no expensive watches….you will be fine.
Hope this helps and BTW I am in bogota 3 or 4 times each year and probably will be in bogota this weekend and I practice what I preach.
SAV"
NA,JRT,"Just stayed 3 nights in Bogota at Hotel De La Opera. Used mostly Cabify app - very useful (no need for cash). A few times, grabbed cabs in the street if that was faster. Used the cell phone all the time but was alert as I would in any other place."
NA,Royolbrewn,"The bus system was great, I used it a lot in my four days. Phones in pockets are not too safe.
When looking at mine to figure out walking time, a guide came by and told me not to keep it out. I knew that already."
NA,r c,"welcome
I see someone has a brain and noticed some inconsistencies in whats posted.
""...I will be visiting Bogota for a few days soon, and have become familiar with the general advice about safety.
What's not clear though is cell phone use. I've seen guidance that says, in effect, keep your cell phone in your pocket while walking the streets, especially in Candelaria. Then it says use taxi apps only, not public transportation and not taxis cruising the streets. Well, how is it possible to summon an Uber without visibly using a cell phone?...""
For what its worth, some people are not taxi savvy. there are taxi scammers out there too, just like you may have where you live.
If you want to use Uber or if you feel ""safer"" about doing so, there are no travel police. Note, i used a taxi...I have used taxi in many places i have visited too.
I have used the bus when i was there too. Just the one to get me to the Hard Rock Cafe. And i rode it back too. I loved the underground transfers station, really cool in my opinion. I know its a shoulder shrug for the locals..but i got out there and walked over the museum.
you will find that people using cell phones and there were people taking photos too.. And there are police/army around.
however, head out there after dark and you will definitely see an empty plaza. Its almost like a dead area or where i lived, it emptied out after 1700 or so due to everyone living in the burbs. I stayed in the area so it wasnt a big deal to head out and walk over there to see what was going - or not. And it wasnt happening. but it was different.
""......And what about using Google maps to get around? Would that be considered ""dar papaya"", even in city center in broad daylight? If so, what would be the alternative? Paper map?...""
for what its worth, i get lost/turned around real easy. So what i do is to use google maps. that means bring out my phone and seeing where im at and where i want to go and if im going in the correct direction.
"".....Thanks in advance for any clarification of this mater......""
Just so you know, i use....
> pay attention to my surrounding
> use common sense.
> and i also listen to my gut too.
since you may or may not believe whats posted, i say, once you are there, head out and into the place you want to see.
what do you see/observe? dead bodies with no cell phones? Or do you see people, families out and about doing all sorts of touristy things?
also, be adaptable.... if the situation changes, just be observant...
good luck
Edited: 2 years ago"
NA,Lewis,"We deployed a strategy in Rio (which we still use to this day) that after doing walking tours etc we would jump in for a quick coffee, beer or snack at somewhere the guide recommends then get a plan of action for the afternoon within a cafe/bar. If that means ordering an uber and heading back or walking to the next destination, as SAV says with purpose after seeing how to get there. Planning is everything and walking around aimlessly can maybe find you in a sticky situ or area (imo). There will be many people with phones out and being a lot more relaxed... that to me is a good thing as they are a far easier target for a petty thief in that moment! I do acknowledge I'm possibly too cautious. :D
Edited: 2 years ago"
NA,WTrvlr01,"Thank you all for prompt replies. I'll go ahead and use my phone, albeit with more caution than in Europe and Asia."
NA,Stephane501,"A good hint is to see how are doing locals. They are with cell phones out? You can too. Hardly any cell phone out? Keep yours out of sight too.
Also regarding Google maps, a quick look at your phone to make sure you are going in the right direction is usually fine. Being absorbed for several minutes, static, completely unaware of your surroundings, no good.
If you need your social media fix, find a cafe or a bakery (they almost always serve as cafeterias too where you can sit and have a coffee or a simple dish). Choose a sitting that is not directly visible from the street.
Edited: 2 years ago"
NA,r c,"Welcome
im not sure if you read anything or just get your info off the boobtube...ect.
but if you use something like a metro, there is what is called a ""snatch and grab"". If you are standing and using a your phone near the door, someone can grab your phone just before the doors close and they are out before you can do anything. this is sort of a common tactic...so guess what if you are standing near a door???
Same for near a street corner waiting to cross... places like in italy and other places, some people on scooters will come by and snatch your phone or cut some purse strings... so guess what??? dont stand near the street/corner...
I get it you and others dont want to read a book but get your info from the web, but guess what? you may not find alot unless you are specifically looking for it.
I use travel books and i found more stuff like this in them since they cover ALOT of whats not searched for on the web. But you and others can keep on doing the way you want to do things and see how far you get.
good luck"
NA,Rich041,"It’s not a uniquely unsafe city, at least the parts of tourist interest. Don’t overthink it. If other people are out and about, you can too."
Staying safe in Bogota,WTrvlr01,"I will be visiting Bogota for a few days soon, and have become familiar with the general advice about safety.
What's not clear though is cell phone use. I've seen guidance that says, in effect, keep your cell phone in your pocket while walking the streets, especially in Candelaria. Then it says use taxi apps only, not public transportation and not taxis cruising the streets. Well, how is it possible to summon an Uber without visibly using a cell phone?
And what about using Google maps to get around? Would that be considered ""dar papaya"", even in city center in broad daylight? If so, what would be the alternative? Paper map?
Thanks in advance for any clarification of this mater."
NA,SirDrankalot,"It's a great question. Some parts of Bogota are more safe than others but for the often if I need to use my phone on the street I find a building and put my back to it so no one can approach me from behind and do what I need to do on the phone and move on. I've heard of people doing the opposite to conceal their phone but it doesn't make much sense to me. I use public transportation, taxis, and Uber but I am careful about where I use a taxi. A safe option is to have your hotel or wherever you are at call a taxi for you. For Uber sometimes I will find a police officer and stand near them and call an Uber. Inside a building will be better.
It's interesting how the opinions of people who have been raised in Colombia is so different from others. I think the biggest issue is because safety events are binary and many times people think they are safe simply because they weren't robbed. It's binary though so there is not an almost got robbed situation and for the time a tourist spends in Colombia, the chances are they won't get robbed. But make no mistake the locals who have lived all their life in Colombia will err more on the side of caution than what you will find on a website like Tripadvisor where the demographics are hardly representative of native Colombians."
